brawler_name,player_tag,player_name,name_color,player_icon,player_trophies,rank,club
GRIFF,#2QUPGU2R,ᴀɴᴅʀᴇʏ❤️‍🔥,0xffcb5aff,28000046,1250,22,Rebirth eSports
GRIFF,#Q9Y2P0GY,Cauazin :D,0xffffffff,28000138,1250,23,NGGL
GRIFF,#P2PQ0GRVG,⛩️| Horia64🥀,0xffcb5aff,28000141,1239,24,Mizmiripsis🛐
GRIFF,#Y0PR2Y0,❦︎|ℬ𝖔𝒃𝕪®,0xff1ba5f5,28000229,1234,25,⛩sombre 桜
GRIFF,#9P8VR2GV9,TLH|Alexz🦇,0xff1ba5f5,28000141,1209,26,Guard eSports
GRIFF,#P8L8LG82C,ARTURPROX|GG™️,0xff4ddba2,28000245,1203,27,abc|eSports
GRIFF,#JQ20LV8,Wavex😡NA,0xfff9c908,28000111,1203,28,Recovery
GRIFF,#JGCCGY80,prostislavv,0xffff9727,28000042,1202,29,Brawl Kings
GRIFF,#CJP08CU0,Uriel,0xffffffff,28000000,1201,30,BC*|Family*
GRIFF,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1200,31,<c5> D1 </c>
GRIFF,#LP8QV80Q,CM|Fly🖤,0xff1ba5f5,28000176,1200,32,SIBAGRO
GRIFF,#8YVU9PQL,xD99Dx,0xffffffff,28000127,1194,33,<c3>GloRy</c>
GRIFF,#2G22CY0C9,浤|мysтıc 🤍,0xff1ba5f5,28000112,1186,34,
GRIFF,#2C0C2LYUC,ɴᴇɴᴇᴀ❤️‍🔥,0xfff05637,28000138,1181,35,ForFunOnly
